4,7,7,7,7,7,7,7,7,7,7,6,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,42,42,42,42,42,44,44,44,44,44,14,44,44,44,44,
6,23,25,42,42,42,44,44,44,44,44,14,44,44,44,44,
6,24,24,42,42,42,44,44,44,44,44,14,44,44,44,44,
6,13,13,13,13,13,13,13,21,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,1,1,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,15,44,44,44,44,14,44,44,44,44,
6,44,44,0,0,0,0,0,0,0,0,14,44,44,44,44,
6,44,44,12,5,5,5,5,5,5,5,6,44,44,44,44,
6,44,44,11,7,7,7,7,7,7,7,6,44,44,44,44,
6,44,40,44,40,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
4,13,17,44,16,17,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,22,44,44,40,28,29,40,44,44,14,44,44,44,44,
6,44,44,44,44,44,30,31,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,41,44,41,44,44,44,44,44,44,44,14,44,44,44,44,
4,13,13,17,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,42,42,42,44,14,44,44,44,44,
6,44,44,44,44,44,44,42,22,42,44,14,44,44,44,44,
6,44,44,42,42,42,44,42,42,42,44,14,44,44,44,44,
6,44,44,42,22,42,44,44,44,44,44,14,44,44,44,44,
6,44,44,42,42,42,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,16,13,13,13,13,13,6,44,44,44,44,
6,40,28,29,40,44,44,44,44,44,44,14,44,44,44,44,
6,44,30,31,44,44,44,44,44,44,44,14,44,44,44,44,
4,5,5,5,5,5,9,44,44,44,44,14,44,44,44,44,
4,7,7,7,7,7,7,21,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,40,44,44,14,44,44,44,44,
6,44,44,44,44,44,44,44,44,44,12,6,44,44,44,44,
6,44,44,44,44,44,40,44,44,12,4,6,44,44,44,44,
6,44,44,44,44,44,44,44,12,7,7,10,44,44,44,44,
6,44,40,32,33,44,44,12,6,44,44,44,44,44,44,44,
6,44,44,34,35,44,12,4,6,44,26,44,44,44,44,44,
4,5,5,5,5,5,4,4,4,5,5,9,44,44,44,44,
